Tarot Data - Sheet1(3)
Name,Image
The Fool,https://sacred-texts.com/tarot/pkt/img/ar00.jpg
The Magician,https://sacred-texts.com/tarot/pkt/img/ar01.jpg
The World,https://sacred-texts.com/tarot/pkt/img/ar21.jpg
Judgement,https://sacred-texts.com/tarot/pkt/img/ar20.jpg
The Sun,https://sacred-texts.com/tarot/pkt/img/ar19.jpg
The Moon,https://sacred-texts.com/tarot/pkt/img/ar18.jpg
The Star,https://sacred-texts.com/tarot/pkt/img/ar17.jpg
The Tower,https://sacred-texts.com/tarot/pkt/img/ar16.jpg
The Devil,https://sacred-texts.com/tarot/pkt/img/ar15.jpg
"Temperance,",https://sacred-texts.com/tarot/pkt/img/ar14.jpg
Death,https://sacred-texts.com/tarot/pkt/img/ar13.jpg
The Hanged Man,https://sacred-texts.com/tarot/pkt/img/ar12.jpg
Justice,https://sacred-texts.com/tarot/pkt/img/ar11.jpg
"Wheel of Fortune,",https://sacred-texts.com/tarot/pkt/img/ar10.jpg
The Hermit,https://sacred-texts.com/tarot/pkt/img/ar09.jpg
"Strength,",https://sacred-texts.com/tarot/pkt/img/ar08.jpg
The Chariot,https://sacred-texts.com/tarot/pkt/img/ar07.jpg
The Lovers,https://sacred-texts.com/tarot/pkt/img/ar06.jpg
The Hierophant,https://sacred-texts.com/tarot/pkt/img/ar05.jpg
The Emperor,https://sacred-texts.com/tarot/pkt/img/ar04.jpg
The Empress,https://sacred-texts.com/tarot/pkt/img/ar03.jpg
The High Priestess,https://sacred-texts.com/tarot/pkt/img/ar02.jpg
Ace Of Cups,https://sacred-texts.com/tarot/pkt/img/cuac.jpg
Two Of Cups,https://sacred-texts.com/tarot/pkt/img/cu02.jpg
Three Of Cups ,https://sacred-texts.com/tarot/pkt/img/cu03.jpg
Four Of Cups,https://sacred-texts.com/tarot/pkt/img/cu04.jpg
Five Of Cups,https://sacred-texts.com/tarot/pkt/img/cu05.jpg
Six Of Cups,https://sacred-texts.com/tarot/pkt/img/cu06.jpg
Seven Of Cups,https://sacred-texts.com/tarot/pkt/img/cu07.jpg
Eight Of Cups ,https://sacred-texts.com/tarot/pkt/img/cu08.jpg
Nine Of Cups,https://sacred-texts.com/tarot/pkt/img/cu09.jpg
Ten Of Cups,https://sacred-texts.com/tarot/pkt/img/cu10.jpg
Page Of Cups,https://sacred-texts.com/tarot/pkt/img/cupa.jpg
Knight Of Cups,https://sacred-texts.com/tarot/pkt/img/cukn.jpg
Queen Of Cups,https://sacred-texts.com/tarot/pkt/img/cuqu.jpg
King Of Cups,https://sacred-texts.com/tarot/pkt/img/cuki.jpg
Ace Of Wands,https://sacred-texts.com/tarot/pkt/img/waac.jpg
Two Of Wands,https://sacred-texts.com/tarot/pkt/img/wa02.jpg
Three Of Wands ,https://sacred-texts.com/tarot/pkt/img/wa03.jpg
