Tarot Data - Sheet1(5)
Name,Image,Alt
The Fool,https://sacred-texts.com/tarot/pkt/img/ar00.jpg,The Fool
The Magician,https://sacred-texts.com/tarot/pkt/img/ar01.jpg,The Magician
The World,https://sacred-texts.com/tarot/pkt/img/ar21.jpg,The World
Judgement,https://sacred-texts.com/tarot/pkt/img/ar20.jpg, Judgement
The Sun,https://sacred-texts.com/tarot/pkt/img/ar19.jpg, The Sun
The Moon,https://sacred-texts.com/tarot/pkt/img/ar18.jpg,The Moon
The Star,https://sacred-texts.com/tarot/pkt/img/ar17.jpg,The Star
The Tower,https://sacred-texts.com/tarot/pkt/img/ar16.jpg,The Tower
The Devil,https://sacred-texts.com/tarot/pkt/img/ar15.jpg,The Devil
Temperance,https://sacred-texts.com/tarot/pkt/img/ar14.jpg,Temperance
Death,https://sacred-texts.com/tarot/pkt/img/ar13.jpg,Death
The Hanged Man,https://sacred-texts.com/tarot/pkt/img/ar12.jpg,The Hanged Man
Justice,https://sacred-texts.com/tarot/pkt/img/ar11.jpg,Justice
Wheel of Fortune,https://sacred-texts.com/tarot/pkt/img/ar10.jpg,Wheel of Fortune
The Hermit,https://sacred-texts.com/tarot/pkt/img/ar09.jpg,The Hermit
Strength,https://sacred-texts.com/tarot/pkt/img/ar08.jpg,Strength
The Chariot,https://sacred-texts.com/tarot/pkt/img/ar07.jpg,The Chariot
The Lovers,https://sacred-texts.com/tarot/pkt/img/ar06.jpg,The Lovers
The Hierophant,https://sacred-texts.com/tarot/pkt/img/ar05.jpg,The Hierophant
The Emperor,https://sacred-texts.com/tarot/pkt/img/ar04.jpg,The Emperor
The Empress,https://sacred-texts.com/tarot/pkt/img/ar03.jpg,The Empress
The High Priestess,https://sacred-texts.com/tarot/pkt/img/ar02.jpg,The High Priestess
Ace Of Cups,https://sacred-texts.com/tarot/pkt/img/cuac.jpg,Ace Of Cups
Two Of Cups,https://sacred-texts.com/tarot/pkt/img/cu02.jpg,Two Of Cups
Three Of Cups ,https://sacred-texts.com/tarot/pkt/img/cu03.jpg,Three Of Cups 
Four Of Cups,https://sacred-texts.com/tarot/pkt/img/cu04.jpg,Four Of Cups
Five Of Cups,https://sacred-texts.com/tarot/pkt/img/cu05.jpg,Five Of Cups
Six Of Cups,https://sacred-texts.com/tarot/pkt/img/cu06.jpg,Six Of Cups
Seven Of Cups,https://sacred-texts.com/tarot/pkt/img/cu07.jpg,Seven Of Cups
Eight Of Cups ,https://sacred-texts.com/tarot/pkt/img/cu08.jpg,Eight Of Cups 
Nine Of Cups,https://sacred-texts.com/tarot/pkt/img/cu09.jpg,Nine Of Cups
Ten Of Cups,https://sacred-texts.com/tarot/pkt/img/cu10.jpg,Ten Of Cups
Page Of Cups,https://sacred-texts.com/tarot/pkt/img/cupa.jpg,Page Of Cups
Knight Of Cups,https://sacred-texts.com/tarot/pkt/img/cukn.jpg,Knight Of Cups
Queen Of Cups,https://sacred-texts.com/tarot/pkt/img/cuqu.jpg,Queen Of Cups
King Of Cups,https://sacred-texts.com/tarot/pkt/img/cuki.jpg,King Of Cups
Ace Of Wands,https://sacred-texts.com/tarot/pkt/img/waac.jpg,Ace Of Wands
Two Of Wands,https://sacred-texts.com/tarot/pkt/img/wa02.jpg,Two Of Wands
Three Of Wands ,https://sacred-texts.com/tarot/pkt/img/wa03.jpg,Three Of Wands 
Four Of Wands,https://sacred-texts.com/tarot/pkt/img/wa04.jpg,Four Of Wands
Five Of Wands,https://sacred-texts.com/tarot/pkt/img/wa05.jpg,Five Of Wands
Six Of Wands,https://sacred-texts.com/tarot/pkt/img/wa06.jpg,Six Of Wands
Seven Of Wands,https://sacred-texts.com/tarot/pkt/img/wa07.jpg,Seven Of Wands
Eight Of Wands,https://sacred-texts.com/tarot/pkt/img/wa08.jpg,Eight Of Wands
Nine Of Wands,https://sacred-texts.com/tarot/pkt/img/wa09.jpg,Nine Of Wands
Ten Of Wands,https://sacred-texts.com/tarot/pkt/img/wa10.jpg,Ten Of Wands
Page Of Wands,https://sacred-texts.com/tarot/pkt/img/wapa.jpg,Page Of Wands
Knight Of Wands,https://sacred-texts.com/tarot/pkt/img/wakn.jpg,Knight Of Wands
Queen Of Wands,https://sacred-texts.com/tarot/pkt/img/waqu.jpg,Queen Of Wands
King Of Wands,https://sacred-texts.com/tarot/pkt/img/waki.jpg,King Of Wands
Ace Of Swords,https://sacred-texts.com/tarot/pkt/img/swac.jpg,Ace Of Swords
Two Of Swords,https://sacred-texts.com/tarot/pkt/img/sw02.jpg,Two Of Swords
